description,Location
1 North Market Street  (in front of McCormick & Schmicks ),"(42.36034013, -71.05581905)"
100 Meridian @ London,"(42.37344585, -71.03900682)"
100 N Washington,"(42.36593588, -71.05833609)"
106 Cambridge Street,"(42.36112, -71.06296)"
1080 Boylston Street,"(42.3471459, -71.0882423)"
1082 Comm Ave / Corner of Comm & Naples,"(42.35188842, -71.12355974)"
110 Meridian (Bus stop),"(42.37225, -71.03903609)"
1101 Commonwealth Ave @ Packards Corner,"(42.3519077, -71.1254203)"
1103 Comm Ave (Packards Corner),"(42.3519266, -71.1254758)"
1114 Washington Street (Ming's Chinese Market),"(42.34423812, -71.06570621)"
112 Brighton Avenue,
1124 Boylston St.,"(42.3467963, -71.0889104)"
120 Meridian Street,"(42.37318903, -71.03909437)"
121 Meridian Street,"(42.37305033, -71.03901464)"
123 Endicott Street,"(42.36467239, -71.05730732)"
1232 North St,"(42.3630794, -71.0540662)"
125 Tremont & Hamilton St (FedEx),"(42.35653242, -71.06190233)"
128 Cambridge Street,"(42.36113, -71.06377)"
129 Tremont St (burger king),"(42.35634431, -71.06203197)"
13 Hudson St.,"(42.3507629, -71.0600717)"
1304 Commonwealth Avenue @ CVS,"(42.34851176, -71.13421687)"
1309 Boylston Street,"(42.344205, -71.0992191)"
1330 Boylston @ Jersey Street,"(42.3445655, -71.097831)"
1330 Boylston Street (near Yawkey Way),"(42.3444105, -71.09806147)"
1336 Washington St.,"(42.3416352, -71.068809)"
1350 Boylston @ Kilmarnock (SE Corner),"(42.34394488, -71.09980484)"
136 Mass Ave Northbound @ Berklee Performance Center,"(42.34695397, -71.0874969)"
138 Brighton Ave / Corner of Harvard & Brighton,"(42.3529157, -71.13197072)"
1381 Boylston Street,"(42.34372831, -71.1012248)"
139 Meridian Street,"(42.37344166, -71.03899854)"
141 Tremont & Temple St (Armed Forces Career Center),"(42.35556787, -71.06287805)"
1420 Boylston Street / Between Shaw's & Gulf Gas,"(42.34341734, -71.10165331)"
1431 Washington St @ West Dedham,"(42.34071, -71.07077)"
147 Tremont @ West Street (Opposite Boston Common),"(42.35520119, -71.06320713)"
148 Hancock Street,"(42.31118, -71.06261)"
15 Lansdowne in front ot House of Blues.,"(42.34720359, -71.09565474)"
150 Brighton Ave / Sunrise Market & Blanchard's,"(42.35292705, -71.13232101)"
150 Lincoln Street / Lincoln & Beach,"(42.35104398, -71.05840236)"
150 Mass Ave,"(42.34718207, -71.0875808)"
150 Newbury Street,"(42.35081, -71.07782)"
1500 Tremont -Bonney Rd,"(42.33226, -71.09917)"
151 Merrimac St @ Staniford & Causeway (Eastside of Intersection),"(42.36412584, -71.06317651)"
151 Merrimack Street (SE Causeway & Merrimack),"(42.36401425, -71.06323408)"
154 Dorchester Avenue // Southie,"(42.34159782, -71.05696743)"
154 Dudley Street,
155 Mass Ave.,"(42.346527, -71.0873836)"
1568 Tremont Street,"(42.33317, -71.10196)"
157 Brighton Ave / Brighton & Harvard (Tedeschi's),"(42.35314057, -71.13230407)"
157 Pearl St,"(42.3545293, -71.05337349)"
1580 Tremont Street,"(42.33339, -71.10258)"
1614 Tremont @ Bank of America & JP Licks,"(42.33376718, -71.10393749)"
1623 Washington St @ West Concord,"(42.33802, -71.07484)"
165 Cambridge Street @ Parking Lot Entrance,"(42.36130164, -71.06566324)"
1662 Washington St.,"(42.33757068, -71.07537059)"
1695 Tremont Street @ 1 Brigham Circle,"(42.33399485, -71.10458326)"
1714 Washington Street,"(42.33695123, -71.0761684)"
1745 Washington Street,"(42.3366, -71.07687)"
175 Purchase Street,"(42.3542502, -71.0538944)"
177 Brighton Avenue // Brighton & Quint at CVS,"(42.3533553, -71.13392075)"
178 Kneeland St (south street diner),"(42.3498437, -71.0577884)"
181 Mass Ave (Southbound),"(42.34563384, -71.08699977)"
182 Mass Ave,"(42.3455912, -71.0868808)"
185 Franklin Street / Pearl & Franklin,"(42.355761, -71.055204)"
186 Tremont St (Masonic Temple),"(42.35242937, -71.06441476)"
187 East Cottage Street,"(42.3205476, -71.06113962)"
1875 Commonweath Ave,"(42.33830114, -71.15335058)"
1884 Commonwealth Ave,"(42.33800497, -71.15289493)"
190A Brighton Ave / Brighton (East) & Quint at La Mamma Pizza,"(42.35311742, -71.1339679)"
1927 Beacon St (CVS Parking lot),"(42.33609007, -71.14879784)"
1937 Beacon St (Maryann's),"(42.33597391, -71.14931819)"
194 Mass Ave @ Clearway Street,"(42.3454531, -71.08680118)"
1955 Beacon St & Chestnut HIll Ave (Dunkin Donuts),"(42.33573005, -71.15020626)"
1956 Beacon Street @ Sutherland (Starbucks),"(42.33615978, -71.15020115)"
1985 Columbus Ave.,"(42.3152362, -71.0978994)"
2 Avenue De Lafayette and Washington St.,"(42.3538783, -71.0621546)"
2 South Huntington Ave.,"(42.3319, -71.111938)"
20 Yawkey Way,"(42.3463211, -71.0986756)"
200 Atlantic Avenue (Tia's & Columbus Park),"(42.36023006, -71.05196628)"
200 Newbury Street,"(42.35023008, -71.0800102)"
200 Washington St (state street T stop),"(42.3580592, -71.05781172)"
201 Mass Ave / US Post Office,"(42.34496029, -71.08680502)"
"202 Essex Street ""Boston Sports Club""","(42.35181349, -71.05612433)"
210 Brighton Ave / Brighton (East) & Allston at Burger King,"(42.35320139, -71.13465433)"
218 Hanover ST (cvs),"(42.36297845, -71.05539223)"
2193 Commonwealth Ave (UPS Store),"(42.34020527, -71.16628779)"
2199 Commonweath Ave (Crazy Doughs Pizza),"(42.34017157, -71.16657813)"
224 Cambridge St. in front of starbucks,"(42.3609637, -71.066528)"
226 Washington St (american express office),"(42.3583641, -71.0578237)"
227 Hanover Street,"(42.36292, -71.055295)"
229 Brighton Ave @ Craftsman St,"(42.35357211, -71.13564586)"
23 Dartmouth,"(42.343687, -71.074081)"
230 Bowdoin,"(42.3056727, -71.0677378)"
234 Causeway // Near Strada,"(42.3665584, -71.059236)"
239 Causeway St,"(42.3664666, -71.0591904)"
24 Clarendon,"(42.344904, -71.07251)"
24 New Chardon St,"(42.36282644, -71.060895)"
240 Newbury Street in front of CVS,"(42.34967365, -71.08208099)"
241 Bowdoin St,
252 Brighton Ave @ Islington,"(42.3533403, -71.1365888)"
258 Summer St,"(42.3505103, -71.0507355)"
26 North Street  (opp millennium bostonian hotel),"(42.36069655, -71.05578864)"
26 Temple Place / Temple Place Cafe in Downtown Crossing,"(42.35534447, -71.0621863)"
260 Washington  Street,"(42.35786, -71.05792)"
260 Washington St (Eat Kitchen Restaurant),"(42.3578315, -71.0579119)"
261 Hanover Street,"(42.3636, -71.05487)"
263 Summer St,"(42.3502215, -71.0507204)"
276 Hanover (Cafe Pompei),"(42.363799, -71.0545002)"
276 Washington,"(42.35756, -71.05813)"
276 Washington St (Global Pack Ship store),"(42.3575619, -71.0580928)"
277 Washington Street (Next to Parking Garage),"(42.35754986, -71.05821965)"
279 Purchase Street (Dunkin Donuts),"(42.35329796, -71.05592657)"
280 Cambridge Street,"(42.36102189, -71.06882682)"
281 Franklin Street @ Batterymarch Street,"(42.35694113, -71.05320165)"
282 Newbury Street,"(42.34915253, -71.0839643)"
289 Hanover Street,"(42.36389, -71.05433)"
289 Huntington Ave / Huntington (West) & Gainsborough,"(42.34163422, -71.08656168)"
290 Huntington Ave / Huntington (East) & Gainsborough,"(42.34126687, -71.08658464)"
290 Washington Street / Brighton Center,"(42.34892061, -71.15082435)"
293 Huntington Ave / Huntington & Gainsborough,"(42.34151912, -71.0866938)"
294 Congress (near Dorchester Ave),"(42.35266677, -71.05233923)"
30 Kneeland,"(42.35078, -71.06184)"
308 Congress St @ Sleeper St,"(42.35129734, -71.04981784)"
"309 Atlantic Avenue ""Lavenderia Cleaners""","(42.36361784, -71.05116706)"
309 Cambridge St (MGH Yawkey Center),"(42.36125704, -71.0695564)"
31 New Chardon / New Chardon & Hawkins,"(42.36237419, -71.06178797)"
311 Huntington Ave / Huntington (Westbound) and Opera,"(42.34052963, -71.0888865)"
32 Summer Street // Men's Warehouse,"(42.35499191, -71.05962767)"
320 Newbury Street,"(42.34868, -71.08578)"
328 Tremont St (Entrance of Mass Pike Towers),"(42.34852344, -71.06565747)"
328 Washington St (Cohen's Fashion Optical),"(42.3568756, -71.0588741)"
330 Newbury St.,"(42.34868492, -71.08577279)"
331 Hanover Street,"(42.364252, -71.053905)"
332 Congress St,"(42.350917, -71.049308)"
333 Mass Ave / Mass & Huntington (Utrecht Art Supply),"(42.3425617, -71.08491297)"
339 Washington St,"(42.3573978, -71.0583383)"
34 Bromfield Street,"(42.3567331, -71.0603085)"
342 Hanover (White Hen Pantry),"(42.3648934, -71.0536149)"
346 Huntington Ave (Eastbound) / NU Bus Stop,"(42.34021274, -71.08896851)"
351 Congress St,"(42.3504195, -71.0485634)"
354 Congress St,"(42.3503408, -71.0483829)"
355 Chestnut Hill Avenue,
355 Congress St @ A St,"(42.35020849, -71.04829576)"
355 Newbury St,"(42.34831644, -71.08751047)"
357 Hanover Street,"(42.36471, -71.0535)"
361 Newbury / Newbury & Mass (Urban Outfitters),"(42.34821665, -71.08805051)"
363 Cambridge Street @ Harvard Avenue,"(42.3556158, -71.1326728)"
363 D Centre Street,"(42.32253622, -71.1077645)"
365 Washington Street / Brighton,"(42.34919395, -71.1531268)"
367 Mass Ave @ Orange Line T-Entrance (Northside),"(42.34175913, -71.08326882)"
367 Mass Ave @ Orange Line T-Entrance (South side),"(42.34143009, -71.08320981)"
372 Washington St (in front of food court),"(42.35633163, -71.059483)"
373 Washington St (in front of jewelers),"(42.35621469, -71.05977536)"
387 Talbot Ave - Across from,"(42.29008, -71.07061)"
391 Hanover Street,"(42.3652, -71.05309)"
396 Hanover Street (Contrada coffee shop),"(42.3659652, -71.0529941)"
400 Stuart St @ Clarendon,"(42.34883727, -71.07417681)"
402 Atlantic Ave,"(42.3556264, -71.0507777)"
41 Berklee,"(42.345723, -71.070175)"
414 Washington Street (Across from Parsons Street),"(42.3489879, -71.1556679)"
415 Centre Street @ Cuba Restaurant,"(42.3210732, -71.1104842)"
42 Cross Street (J.Pace & son Deli),"(42.36319254, -71.05678416)"
426 Boylston St (Citizens Bank),"(42.35120296, -71.07284531)"
427 Washington Street (EB Horn Company Jewlers),"(42.3507566, -71.0635176)"
44 Franklin Street @ Hawley,"(42.3557072, -71.0588393)"
449 Washington St (opp Macy's),"(42.35544997, -71.06066429)"
45 Massachusetts Ave.,"(42.3499389, -71.0890666)"
450 Washington Street @ Macy's,"(42.3548251, -71.0610869)"
453 Washington Street,"(42.35533, -71.0607)"
46 Bowdoin Street and Cambridge,"(42.36111, -71.06277)"
"464 Hanover Street ""7/11 Store""","(42.36710187, -71.05258981)"
465 Cambridge Street @ Craftsman,"(42.35397159, -71.13625554)"
47 Lansdowne St - Across from Bleacher bar,"(42.3471798, -71.096792)"
470 Atlantic Ave (Atlantic & Pearl),"(42.35463491, -71.05148157)"
471 Columbus Ave,"(42.34326, -71.07838)"
477 Washington St (in front of Army Navy),"(42.35491079, -71.06104026)"
477 Washington St (opp Army & Navy Store),"(42.35497874, -71.06113146)"
481 Topliff Street,"(42.3030834, -71.0681902)"
497 Huntington / Huntington (West),"(42.33781951, -71.09567639)"
51 Clarendon/corner Chandler,"(42.34634, -71.07312)"
516 Tremont St.,"(42.3448302, -71.0702141)"
52 Meridian St (Shell station),"(42.37171659, -71.03910484)"
53 Dartmouth,"(42.34446654, -71.07437808)"
532 Tremont at Milford St,"(42.3445374, -71.0705386)"
536 Tremont,"(42.34445, -71.07067)"
539 Tremont,"(42.344527, -71.07079)"
540 Commonwealth,"(42.34847785, -71.09715705)"
544 Washington (across from Harlem place),"(42.35403424, -71.06200033)"
552 Commonwealth (Kenmore Sq),"(42.34848571, -71.09710951)"
554 Tremont,"(42.34386, -71.07167)"
556 Commercial St,"(42.36820025, -71.05639385)"
563 Columbus Avenue,"(42.34087, -71.08143)"
564 Tremont st,"(42.34359885, -71.07214987)"
566 Massachusetts ave,"(42.33784176, -71.07842764)"
58 Charles Street @ Stuart Street,"(42.35088074, -71.06689851)"
59 Causeway (SE corner Duncan Donuts),"(42.364304, -71.0632709)"
59 Lansdown (Across from Fenway @ Parking Garage),"(42.34720651, -71.09754082)"
59 Temple Place,"(42.35492047, -71.06156127)"
6 Post Office Square // Fed Ex Store,"(42.357549, -71.0562522)"
60 State Street / Congress & State,"(42.35898642, -71.05662127)"
609 Tremont Street,"(42.34282746, -71.07388098)"
610 Tremont St.,"(42.34268047, -71.07385844)"
627 Tremont St,"(42.34253228, -71.07451491)"
630 Washington (Chinatown T stop),"(42.35222904, -71.06260137)"
642 Beacon Street (Boco Grande),"(42.34931123, -71.09542244)"
659 Tremont St,"(42.34198461, -71.07515395)"
67 Cambridge Street (across from Kinsale),"(42.36063278, -71.06030432)"
683 Tremont,"(42.34143247, -71.07657887)"
688 Columbia Rd -Liquor Store,"(42.32003034, -71.06249694)"
695 Columbia Road,"(42.31989, -71.06253)"
7 Lansdowne St (opp Landsdowne pub),"(42.34710793, -71.09500812)"
702 Mass Ave & Harrison @ Boston Medical Center,"(42.33511781, -71.07512533)"
706 Huntington Ave,"(42.33442962, -71.10367716)"
71 State St (Jos A Bank),"(42.35903276, -71.05596238)"
716 Columbia Road,"(42.32054, -71.06116)"
718 Huntington,"(42.33434, -71.10426)"
72 Brookline Ave - Absolut Club house,"(42.34693481, -71.09874405)"
72 Kneeland,"(42.3505, -71.0607)"
73 Brookline Ave (Kenmore Parking Lot),"(42.34676296, -71.09914698)"
735 Tremont at bus stop,"(42.34023, -71.0788)"
74 Berklee,"(42.3443, -71.067)"
748 Tremont st,"(42.34001098, -71.07882522)"
75 Dartmouth,"(42.345189, -71.07477)"
76 South St ( BFS Business Printing),"(42.3515368, -71.0571171)"
764 Tremont st,"(42.3396556, -71.07942872)"
784 Huntington across from Fenwood &,"(42.33369, -71.100577)"
789 Harrison Ave,"(42.33604, -71.07374)"
836 Huntington -Parker Hill,"(42.33317, -71.10968)"
84 Mass Ave / Back Bay Bicycles,"(42.34883691, -71.08844601)"
860 Comm Ave / Comm (Eastbound) & Armory,"(42.35069392, -71.11390882)"
88 Broad St (sidewalk bump),"(42.35743776, -71.05249873)"
89 South Street  (Al's South Street Caf),"(42.351844, -71.057489)"
890 Comm Ave / Comm (Eastbound) & St Paul,"(42.35091673, -71.11562927)"
900 Boylston St (Capital Grille),"(42.34782955, -71.08538437)"
95 Berklee,"(42.34395, -71.06595)"
95 Brighton Ave / Budget Truck,"(42.35288371, -71.12998254)"
950 Comm Ave / Sullivan Tire,"(42.35130827, -71.11854518)"
Across from 1146 Washington St.@ Bus stop,"(42.34371779, -71.06630437)"
Across from 373 Washington St.,"(42.35631, -71.05951)"
American Legion Playground,"(42.38146441, -71.02878912)"
Arlington and Columbus @ Smith & Wollensky,"(42.3500305, -71.06994399)"
Arlington St & Stuart St (100 Arlington),"(42.35008178, -71.0697505)"
Atlantic & Central St,"(42.3590554, -71.0516319)"
Atlantic & Milk,"(42.35870062, -71.051439)"
Atlantic and Seaport Blvd (NE Corner),"(42.35477151, -71.05124605)"
Atlantic and State St,
"Atlantic Ave & Cross St ""Mercantile Mall""","(42.36106417, -71.05279434)"
Atlantic Ave and E India Row,"(42.35776165, -71.05116584)"
Atlantic Ave and High St,"(42.35673339, -71.05064149)"
Atlantic Ave and Pearl St,"(42.35398413, -71.05282188)"
Atlantic Ave between Summer & Congress on Left,"(42.35324231, -71.05452488)"
Atlantic Avenue (Needs Exact Location),"(42.3576827, -71.0512099)"
Atlantic Street & Atlantic Avenue,"(42.35776118, -71.05110261)"
"Atlantic Street at Commercial Wharf ""Beacon Hill Athletic Club""","(42.36219697, -71.05121153)"
Avenue De Lafayette and Chancy,"(42.35324982, -71.06073712)"
Avenue De Lafayette and Chancy (on the brick),"(42.35325378, -71.06070493)"
Batterymarch & Liberty St (One Liberty Square),"(42.35783026, -71.05513672)"
Beach and Surface Rd (Chinatown Park),"(42.3512757, -71.05939316)"
Beacon Street (Westbound) at Ayr Road,"(42.33658081, -71.14857459)"
Beacon Street and Ayr St (Tedeschi),"(42.33654692, -71.14878916)"
Bedford St and Kingston St,"(42.35329058, -71.05932127)"
Boston Common (we think),"(42.35529154, -71.06664252)"
Boston Common Tennis Courts,"(42.35380814, -71.06583011)"
Boston Common Tennis Courts (Needs Exact Location),"(42.3537266, -71.0660265)"
Boston Common Tennis Courts (Needs Station Location),"(42.3537266, -71.0660265)"
Boston Commons of Frog Pond,"(42.35625862, -71.06287372)"
Boylston & Charles St (Bulthaup Corp),"(42.35238923, -71.06758938)"
Boylston & Haddash St (4 Seasons Hotel),"(42.35214673, -71.06911114)"
Boylston & Hemenway St (opp Symphony Mart Store),"(42.34681182, -71.08924811)"
Boylston & Mass Ave (Berkley College of Music),"(42.34719456, -71.0875826)"
Boylston & Ring Street - Corner in front of Republic Bank,"(42.34907841, -71.08083237)"
Boylston @ Kilmarnock (NW Corner),"(42.34400075, -71.10014488)"
Boylston and Arlington St (Opp Arlington Church),"(42.35179215, -71.0707406)"
Boylston and Berkeley St - SW Corner (Bank of America),"(42.35116785, -71.07309958)"
Boylston and Clarendon St (Trinity Church),"(42.35062463, -71.07526211)"
Boylston and Dartmouth St (Library Entrance),"(42.34994355, -71.07731053)"
Boylston St (Copley T Station),"(42.3498149, -71.07807363)"
Boylston St (Lord and Taylor Entrance),"(42.3492027, -71.08031759)"
Boylston St (Prudential Entrance),"(42.34854316, -71.08267211)"
Broad St and Surface Rd (across from Panera),"(42.3571755, -71.051634)"
Brookline & Kilmarnock @ Sal's Pizza,"(42.34492057, -71.10090643)"
Brookline Ave & Park Drive @ Landmark Center,"(42.34344916, -71.10255308)"
Brookline Ave and Yawkey Way (SW Corner) @ Souvenir Store,"(42.34669353, -71.09897154)"
Cambridge & North Beacon @ Twin Donut,"(42.35349037, -71.13776316)"
Cambridge and Blosom (Hill Tavern),"(42.36109347, -71.0666692)"
Cambridge and Blosom St (Au Bon Pain),"(42.36127565, -71.06657801)"
